Date;High price;Low price;Closing price
17-10-2017;1039,34;1027,69;1032,19
16-10-2017;1039,98;1023,25;1037,59
13-10-2017;1040,4;1023,75;1025,75
12-10-2017;1046,66;1040,36;1040,4
11-10-2017;1043,02;1035,84;1042,69
10-10-2017;1037,81;1030,6;1035,84
09-10-2017;1038,02;1033,25;1036,88
06-10-2017;1043,7;1034,93;1035,79
05-10-2017;1042,89;1036,15;1039,01
04-10-2017;1040,56;1035,53;1040,5
03-10-2017;1039,59;1035,26;1035,88
02-10-2017;1037,79;1024,14;1037,73
29-09-2017;1029,03;1023,04;1024,14
28-09-2017;1028,61;1024,14;1028,1
27-09-2017;1024,52;1015,61;1023,75
26-09-2017;1031,94;1020,22;1020,74
25-09-2017;1033,76;1023,09;1031,94
22-09-2017;1027,05;1020,62;1024,81
21-09-2017;1029,7;1020,44;1023,76
20-09-2017;1021,83;1016,02;1020,44
19-09-2017;1018,38;1012,71;1016,02
18-09-2017;1017,45;1008,13;1015,39
15-09-2017;1022,23;1008,13;1008,13
14-09-2017;1025,31;1019,73;1022,23
13-09-2017;1024,36;1017,26;1022,29
12-09-2017;1029,95;1018,63;1022,82
11-09-2017;1023,37;1012,6;1023,06
08-09-2017;1015,92;1011,14;1013,13
07-09-2017;1015,61;1005,56;1015
06-09-2017;1015,18;1005,04;1010,45
05-09-2017;1021,42;1014,08;1014,94
04-09-2017;1026,06;1019,38;1020,95
01-09-2017;1026,62;1021,59;1026,06
31-08-2017;1022,58;1008,45;1021,59
30-08-2017;1009,11;1002,01;1008,45
29-08-2017;1010,7;998,81;1002,01
28-08-2017;1014,16;1007,55;1010,7
25-08-2017;1015,84;1010,12;1010,12
24-08-2017;1013,81;1000,42;1011,63
23-08-2017;1011,5;1002,28;1003,23
22-08-2017;1012,1;998,78;1011,5
21-08-2017;1005,93;994,69;998,96
18-08-2017;1002,34;993,85;996,55
17-08-2017;1016,78;1002,28;1002,28
16-08-2017;1018,22;1005,5;1007,79
15-08-2017;1014,01;1008,38;1009,97
14-08-2017;1015,04;1008,24;1010,18
11-08-2017;1008,66;992,4;1008,24
