"date","close","volume","open","high","low"
"16:00","257.21","2,219,001","256.98","257.25","256.72"
"2017/10/16","257.0500","2832995.0000","256.9200","257.2400","256.5400"
"2017/10/13","256.6300","2552822.0000","256.9000","257.0100","256.4900"
"2017/10/12","256.3400","3013590.0000","256.3500","256.7800","256.0974"
"2017/10/11","256.7100","3584240.0000","256.2100","256.7400","256.0500"
"2017/10/10","256.3400","3849558.0000","256.3500","256.7700","255.7200"
"2017/10/09","255.6800","1393776.0000","256.3400","256.4200","255.3700"
"2017/10/06","256.1100","8052662.0000","255.8800","256.1900","255.6000"
"2017/10/05","256.3800","4054813.0000","255.2700","256.4200","255.1200"
"2017/10/04","254.9000","2833753.0000","254.4000","255.1500","254.2855"
"2017/10/03","254.5700","2205150.0000","254.1300","254.5900","253.9300"
"2017/10/02","253.9700","4039086.0000","253.1900","253.9900","253.1100"
"2017/09/29","252.9300","5551479.0000","252.0200","253.0200","251.8200"
"2017/09/28","252.0000","2686967.0000","251.3800","252.1300","251.3200"
"2017/09/27","251.7300","3768560.0000","251.6000","252.1700","250.5500"
"2017/09/26","250.7500","3613973.0000","251.1000","251.3700","250.4900"
"2017/09/25","251.8900","5197466.0000","252.1000","252.5200","251.0400"
"2017/09/22","252.3700","2451410.0000","252.0100","252.6000","251.9900"
"2017/09/21","252.3600","2927147.0000","252.8700","252.9450","252.1600"
"2017/09/20","253.1000","5502206.0000","253.0500","253.1600","251.9000"
"2017/09/19","252.9500","3613767.0000","252.9600","253.0500","252.5851"
"2017/09/18","252.7100","1672345.0000","252.5800","253.0900","252.2415"
"2017/09/15","252.1400","2542749.0000","251.7000","252.2400","251.5400"
"2017/09/14","251.8200","2997729.0000","251.5100","252.0300","251.3300"
"2017/09/13","251.9100","2138115.0000","251.4200","251.9400","251.3200"
"2017/09/12","251.8000","2668471.0000","251.3500","251.8100","251.1500"
"2017/09/11","250.9000","3152086.0000","249.7500","251.0100","249.7300"
"2017/09/08","248.1900","3297328.0000","248.1900","248.7900","247.9900"
"2017/09/07","248.6100","3547068.0000","248.9600","248.9600","248.0900"
"2017/09/06","248.6100","3780858.0000","248.5500","248.9750","247.9100"
"2017/09/05","247.7800","5104732.0000","248.9100","249.1900","246.6200"
"2017/09/01","249.5700","5905222.0000","249.6300","250.0300","249.3800"
"2017/08/31","249.1400","4855142.0000","248.3900","249.4600","248.3000"
"2017/08/30","247.7300","1939627.0000","246.5000","247.9900","246.2900"
"2017/08/29","246.5400","3595619.0000","244.7600","246.8100","244.5700"
"2017/08/28","246.2300","1899993.0000","246.8100","246.8500","245.7500"
"2017/08/25","246.1800","3188993.0000","246.5600","247.2700","246.0500"
"2017/08/24","245.6900","2315766.0000","246.6600","246.8300","245.3900"
"2017/08/23","246.1500","2484545.0000","245.9700","246.6905","245.8100"
"2017/08/22","247.0000","2191347.0000","245.2100","247.2750","245.1900"
"2017/08/21","244.5900","3513709.0000","244.2500","244.8200","243.4500"
"2017/08/18","244.2500","5010247.0000","244.5400","245.8000","243.8300"
"2017/08/17","244.8000","4994268.0000","247.9100","248.2700","244.7550"
"2017/08/16","248.6000","3204951.0000","248.7700","249.2400","248.1300"
"2017/08/15","248.1500","2075152.0000","248.6700","248.6700","247.8300"
"2017/08/14","248.1700","2551632.0000","247.2500","248.4500","247.2400"
"2017/08/11","245.7200","3288054.0000","245.6500","246.4400","245.3900"
"2017/08/10","245.4700","4150430.0000","247.9500","248.1000","245.3516"
"2017/08/09","248.9200","2354247.0000","248.1200","248.9900","247.7300"
"2017/08/08","248.9700","1867546.0000","249.1900","250.6000","248.5100"
"2017/08/07","249.5200","1464290.0000","249.1700","249.5500","249.0400"
"2017/08/04","249.0600","2099848.0000","249.2000","249.4700","248.6500"
"2017/08/03","248.6800","1904784.0000","248.9800","249.0100","248.3200"
